Country,id,Global_Score,Global_Rank,Percentage_missing_values,Regional_Score,Population_in_2019,GDP_per_capita_in_2017,Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10,Goal_11,Goal_12,Goal_13,Goal_14,Goal_15,Goal_16,Goal_17,Regional_Score_Goal_1,Regional_Score_Goal_2,Regional_Score_Goal_3,Regional_Score_Goal_4,Regional_Score_Goal_5,Regional_Score_Goal_6,Regional_Score_Goal_7,Regional_Score_Goal_8,Regional_Score_Goal_9,Regional_Score_Goal_10,Regional_Score_Goal_11,Regional_Score_Goal_12,Regional_Score_Goal_13,Regional_Score_Goal_14,Regional_Score_Goal_15,Regional_Score_Goal_16,Regional_Score_Goal_17
Afghanistan,AFG,49.6,153.0,11.3,70.4,37209007,1796.392531,,42.93,38.71,23.67,21.35,39.40,56.81,43.20,4.12,,34.20,98.22,96.96,,52.08,46.67,41.87,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Angola,AGO,51.3,149.0,2.4,53.8,31787566,6051.579368,45.16,47.78,33.74,37.84,53.57,45.96,48.75,59.88,5.65,57.18,45.96,93.66,90.89,47.84,64.97,41.72,51.91,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Albania,ALB,70.3,60.0,1.2,70.4,2938428,11802.02257,96.85,46.06,82.21,93.40,53.30,77.25,88.64,62.24,27.97,59.78,78.57,83.18,92.08,40.99,79.96,67.34,64.83,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Andorra,AND,,,,70.4,77072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,69.7,65.0,9.5,65.9,9682088,67293.48276,,59.81,86.15,85.70,56.33,55.75,90.69,70.62,60.84,85.89,75.99,40.92,33.41,62.50,45.38,81.52,100.00,93.57,50.25,75.82,79.23,43.35,55.72,88.29,65.01,37.63,69.99,60.02,73.23,78.21,49.69,57.83,68.24,73.94
Argentina,ARG,72.4,45.0,1.2,67.1,45101781,18932.16647,97.03,60.83,80.19,94.27,77.41,80.23,91.42,72.21,40.54,39.66,83.51,79.12,92.15,39.94,52.98,62.96,85.52,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Armenia,ARM,68.8,75.0,1.3,70.4,2936706,8787.57994,91.21,56.53,78.52,89.75,56.92,66.93,95.35,63.16,33.89,50.06,67.25,90.12,95.01,,61.22,75.44,57.05,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Antigua and Barbuda,ATG,,,,67.1,104084,21380.1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,73.9,38.0,2.4,77.7,25088636,44648.70991,99.03,52.41,96.45,92.81,78.90,96.98,91.00,81.09,84.20,76.96,80.59,40.85,33.90,56.29,47.76,85.69,61.14,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Austria,AUT,81.1,5.0,3.8,77.7,8766201,45436.68582,99.19,71.58,94.93,96.56,79.05,94.90,93.83,82.03,80.24,87.40,85.82,45.52,84.29,,71.44,92.03,68.02,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
